Sample,Output_Q31,Output_Float
57,0.000000,0.000000
58,0.000000,0.000000
59,0.000000,166526664118574082869447056357851136.000000
60,0.000000,-0.000000
61,0.000000,0.000000
62,0.000000,177263374773114005458958892939401762905958353429640907906974176116811497472.000000
63,0.000000,-0.000000
64,0.000000,4946233151834140222255246403357799553247264874384539472406736629640939178210580947288457216.000000
65,0.000000,-0.000000
66,0.000000,0.000000
67,0.000000,97744725419609487110974249714615925184454360324686780656713642766626138293041825567690394297069610593182229715400781169962650450508046569981589175638796232218934838830296026851609941507572180595684148276304315601627456591065948094464.000000
68,0.000000,-6099515277377721749283462945730043837981730636643412554050028348502737979977830054269074885442221504282522911457675218779730050539591014070367839069425076692320054769287083563358371065940525711360.000000
69,0.000000,-4710640518713417445226913206279482407054314020468089761089940787275148182959569088365028425690042759356836739791869238693856766736638668652027924447232.000000
70,0.000000,-0.000000
71,0.000000,104972363274597482045120783154154292949598947622567342028941274527260328414634543854326470183148313334546851192482948457564551768010206164244905993483708037171393905156159169585581322641573839980571998576646636344516009033555811050515705205096448.000000
72,0.000000,-45900819415095709269571796434334981782586922825136429667813098660027814467277683849091038789970066894300572105160901865277854345212609953792.000000
73,0.000000,-3705165922985294419108877397557069742080.000000
74,0.000000,-0.000000
75,0.000000,0.000000
76,0.000000,0.000000
77,0.000000,0.000000
78,0.000000,378619124920086964112387455307405625774019735247733487002992110186870610398525591142793216.000000
79,0.000000,-0.000000
80,0.000000,627473745050482817881633637919349039740033367023446177463944158389852382540425011267437171937493861682588574405955881635326782653021162150968688640.000000
81,0.000000,-0.000000
82,0.000000,22436996871147654862671578663840152970602666804339188698867196388967074338455829441630405584163363571746491112912976231227509142602858607502288546848114580553534320671298134758872754576726171608313603448394973454325983437334962503680.000000
83,0.000000,-10511139992999357139104130876737057500096794819614012828597701820372030426274570312364873136947124576280641536.000000
84,0.000000,-0.000000
85,0.000000,1198046385207650228534961575001147579269261490644100000234447319631789622349074472710596636169970656420998820688245254888922853965621129860734256336693887043826421227336264506178407450372119330173182398174473007009769753247222636738510848.000000
86,0.000000,-3393157035115165230726071851806973655700727356852855939635033534344046330902958156695649694423719831295818542653272122982400.000000
87,0.000000,-20764304.000002
88,0.000000,63043525943819967361783216278177871016482516197606984891504946132249947672920209694358351529581968749259324627227296582054350695331361945041326517083288164046315618458261560527549982081243089008021586778357778623009935178758470188432896449984151920345363909902446554468197422998291512307615667322880.000000
89,0.000000,-311069205453751138462463585580505048396949781249093123589539791657560033954192681135009675248728714704588541744637152636680579962394379745597916537056093924184499709848936109351044591018725724817221309394065809287587464091885787053291976888769165918208.000000
90,0.000000,-12539861010163013250564107177851145546157726863323435740003941904746624706113223634538459369215806642105703223114412039274562645522674087182975494120668884604413377913341238110437051048157271925298961717603001652289595697886822027678132212111869452308373383126766795620352.000000
91,0.000000,-16021173398433031230024474106872266030954353912250144680607144635985629331147632660866418792672789682277883514236430351095686520852506633082958423346891132919720214783711602666290078005534198944501059161897724252202054021283840.000000
92,0.000000,-4943281269782536515902711964115266267483328102373422462035887527642660041390534269366372747667788810186776946173464779768680588353004896256.000000
93,0.000000,-0.000000
94,0.000000,943834574287242427270551863283301176897961119408335031980062425947619009999197316585964347966215827955196912955391575825091535476174510730408483193954974311846446903724476736030719174272483845891988389888.000000
95,0.000000,-79320394047218897179568892776486845852989322013431562240.000000
96,0.000000,-0.000000
97,0.000000,27654602752.001801
98,0.000000,8633500664947156459414568276548189148916022458702666670266311660431637161577910527829459384108874917997397925160707233285499088727810820188918117087936030672575994859238046085762107555642783140629318539094347040595799606339925764240415092009824621261461410468607836049899520.000000
99,0.000000,-1524612913183758564155278745862419255033982904085488506655956162780273084401840069363850742119195638434916430975997231331276115067805458763559689821231942205070466142925392062860293459164566703347896289373782897181377814276176389997217827959522821253620387194169853345286334709760.000000
100,0.000000,0.000000
101,0.000000,0.000000
102,0.000000,0.000000
103,0.000000,0.000000
104,0.000000,0.000000
105,0.000000,671561110631853403285070712654476658779766559105234039126408462461616561982861981141023281835909936016618785837270609358543168471040.000000
106,0.000000,-0.000000
107,0.000000,-0.000000
108,0.000000,-5329223063443697945895114742425572519929059063042785733034927849074498503061708039502547333126083730407571201148465482466255548571609208292423269603884318096600731837417752251052829687487292060824906701713702177028529183791718665131466027768771410886154482653065977853214852573797396555042238575195445002240.000000
109,0.000000,-95874970621642015170458859978691349467699189652417081627660402590838623504571495730324461925135115985861439783545079362561068048590695948772062063518449657204124204754319250098284276662765265190725854472416669754168365128878129152.000000
110,0.000000,-19091340460325451833810915071554606637454973365057615925314031085527057856448301115258741136725506839593015886962404091367211107024388516640740574494720.000000
111,0.000000,-0.000000
112,0.000000,117684244093576018085115299949184459399057803230167725534548366757826939964986694550517153142309775435960465734351580611552995054663820149794805009271778862426228205976381243284722300712668113808314173936025593910694215048777435491112058781544015717799559168.000000
113,0.000000,-186245035948707250708477897593781860085688168171776138825239986168744721325844425337370636195285410466640130528377872956619240542844782908325074373089510069024849920.000000
114,0.000000,-10427306361724730366483471703206995743720064060442201580688352237431915572989578256626745344.000000
115,0.000000,-0.000000
116,0.000000,0.000000
